Version;FieldName;sigla_unidade_ensino;nome_unidade_ensino;dt_autorizacao;sigla_uf_unidade_ensino;nome_municipio_unidade_ensino
2;;IFNMG;INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS - CAMPUS AVANÇADO JANAÚBA;10/06/2014 17:52:13;MG;Janaúba
2;;IFNMG;INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS - campus avançado PORTEIRINHA;13/06/2014 10:52:54;MG;Porteirinha
2;;IFNMG;INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS - CAMPUS DIAMANTINA;10/06/2014 17:20:17;MG;Diamantina
2;;IFNMG;Instituto Federal do Norte de Minas Gerais - Campus Januária;05/03/2009 11:39:46;MG;Januária
2;;IFNMG;Instituto Federal do Norte de Minas Gerais - Campus Montes Claros;28/09/2010 11:28:58;MG;Montes Claros
2;;IFNMG;Instituto Federal do Norte de Minas Gerais - Campus Pirapora;28/09/2010 11:38:14;MG;Pirapora
2;;IFNMG;Instituto Federal do Norte de Minas Gerais - Campus Salinas;05/03/2009 11:43:09;MG;Salinas
2;;IFNMG;INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS - CAMPUS TEÓFILO OTONI;10/06/2014 12:11:17;MG;Teófilo Otoni
2;;null;INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS CENTRO DE REFERÊNCIA BURITIS;02/07/2015 15:31:09;MG;Montes Claros
2;;IFNMG;INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS - CENTRO DE REFERÊNCIA CORINTO;01/10/2014 17:03:39;MG;Corinto
2;;IFNMG;INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS - CENTRO DE REFERÊNCIA EM EDUCAÇÃO A DISTÂNCIA;01/10/2014 17:27:29;MG;Montes Claros
2;;IFPA;Instituto Federal dO PARÁ - Campus Abaetetuba;15/05/2009 10:21:43;PA;Abaetetuba
2;;IFPA;Instituto Federal do Pará - Campus Altamira;05/03/2009 14:04:48;PA;Altamira
2;;IFPA;INSTITUTO FEDERAL DO PARÁ CAMPUS ANANINDEUA;31/01/2014 15:21:01;PA;Ananindeua
2;;IFPA;Instituto Federal do Pará - Campus Avançado Vigia;31/01/2014 16:33:52;PA;Vigia
2;;IFPA;Instituto Federal do Pará - Campus Belém;05/03/2009 13:54:19;PA;Belém
2;;IFPA;Instituto Federal do Pará - Campus Bragança;15/05/2009 10:29:26;PA;Bragança
